name,label,varName,unit,quantity
Edible proportion,Edible proportion,edibleProportion,,
Specific gravity,Specific gravity,specificGravity,,
Total solids,Total solids,totalSolids,,
Nitrogen conversion factor,Nitrogen conversion factor,nitrogenConversionFactor,,
Glycerol conversion factor,Glycerol conversion factor,glycerolConversionFactor,,
Food Code,Food Code,foodCode,,
Food Name,Food Name,foodName,,
Description,Description,description,,
Group,Group,group,,
Previous,Previous,previous,,
Main data references,Main data references,references,,
Footnote,Footnote,footnote,,
Water (g),Water,water,g,
Total nitrogen (g),Total nitrogen,totalNitrogen,g,
Protein (g),Protein,protein,g,
Fat (g),Fat,fat,g,
Carbohydrate (g),Carbohydrate,carbohydrate,g,
Energy (kcal) (kcal),kcal,energy,kcal,
Energy (kJ) (kJ),kJ,energyKj,kj,
Starch (g),Starch,starch,g,
Oligosaccharide (g),Oligosaccharide,oligo,g,
Total sugars (g),Total sugars,totalSugars,g,
Glucose (g),Glucose,glucose,g,
Galactose (g),Galactose,galactose,g,
Fructose (g),Fructose,fructose,g,
Sucrose (g),Sucrose,sucrose,g,
Maltose (g),Maltose,maltose,g,
Lactose (g),Lactose,lactose,g,
Alcohol (g),Alcohol,alcool,g,
NSP (g),Non-starch polysaccharide,nStarchPoly,g,
AOAC fibre (g),AOAC fibre,fibre,g,
Satd FA /100g FA (g),Saturated fatty acids per 100g fatty acids,SFAPer100gFA,g,
Satd FA /100g fd (g),Saturated fatty acids per 100g food,SFA,g,
n-6 poly /100g FA (g),Total n-6 polyunsaturated fatty acids per 100g fatty acid,omega6Per100gFA,g,
n-6 poly /100g food (g),Total n-6 polyunsaturated fatty acids per 100g food,omega6,g,
n-3 poly /100g FA (g),Total n-3 polyunsaturated fatty acids per 100g fatty acid,omega3Per100gFA,g,
n-3 poly /100g food (g),Total n-3 polyunsaturated fatty acids per 100g food,omega3,g,
cis-Mono FA /100g FA (g),cis-Monounsaturated fatty acids /100g FA,cisMUFAPer100gFA,g,
cis-Mono FA /100g Food (g),cis-Monounsaturated fatty acids /100g Food,cisMUFA,g,
Mono FA/ 100g FA (g),Monounsaturated fatty acids per 100g fatty acids,MUFAPer100gFA,g,
Mono FA /100g food (g),Monounsaturated fatty acids per 100g food,MUFA,g,
cis-Polyu FA /100g FA (g),cis-Polyunsaturated fatty acids /100g FA,cisPUFAPer100gFA,g,
cis-Poly FA /100g Food (g),cis-Polyunsaturated fatty acids /100g Food,cisPUFA,g,
Poly FA /100g FA (g),Polyunsaturated fatty acids per 100g fatty acids,PUFAPer100gFA,g,
Poly FA /100g food (g),Polyunsaturated fatty acids per 100g food,PUFA,g,
Sat FA excl Br /100g FA (g),Saturated fatty acids excluding branch per 100 g fatty acid,SFAExclBranchPer100gFA,g,
Sat FA excl Br /100g food (g),Saturated fatty acids excluding branch per 100 g food,SFAExclBranch,g,
Branched chain FA /100g FA (g),Total branched chain per 100g fatty acid,totalBranchedChainFAPer100gFA,g,
Branched chain FA /100g food (g),Total branched chain per 100g food,totalBranchedChainFA,g,
Trans FAs /100g FA (g),Total Trans fatty acids per 100g fatty acids,transFAPer100gFA,g,
Trans FAs /100g food (g),Total Trans fatty acids per 100g food,transFA,g,
Cholesterol (mg),Cholesterol,Cholesterol,mg,
Sodium (mg),Sodium,NA,mg,
Potassium (mg),Potassium,K,mg,
Calcium (mg),Calcium,CA,mg,
Magnesium (mg),Magnesium,MG,mg,
Phosphorus (mg),Phosphorus,P,mg,
Iron (mg),Iron,FE,mg,
Copper (mg),Copper,CU,mg,
Zinc (mg),Zinc,ZN,mg,
Chloride (mg),Chloride,CL,mg,
Manganese (mg),Manganese,MN,mg,
Selenium (µg),Selenium,SE,µg,
Iodine (µg),Iodine,I,µg,
Retinol (µg),Retinol,RET,µg,
Carotene (µg),Carotene,CAREQU,µg,
Retinol Equivalent (µg),Total retinol equivalent,RETEQU,µg,
Vitamin D (µg),Total Vitamin D,VITD,µg,
Vitamin E (mg),Total Vitamin E,VITE,mg,
Vitamin K1 (µg),Phylloquinone,VITK1,µg,
Thiamin (mg),Thiamin,THIA,mg,
Riboflavin (mg),Riboflavin,RIBO,mg,
Niacin (mg),Niacin,NIAC,mg,
Tryptophan/60 (mg),Tryptophan divided by 60,TRYP60,mg,
Niacin equivalent (mg),Niacin equivalent,NIACEQU,mg,
Vitamin B6 (mg),Vitamin B6,VITB6,mg,
Vitamin B12 (µg),Vitamin B12,VITB12,µg,
Folate (µg),Folate,FOLT,µg,
Pantothenate (mg),Pantothenate,PANTO,mg,
Biotin (µg),Biotin,BIOT,µg,
Vitamin C (mg),Vitamin C,VITC,mg,
All-trans-retinol (µg),All-trans-retinol,ALTRET,µg,
13-cis-retinol (µg),13-cis-retinol,13CISRET,µg,
Dehydroretinol (µg),Dehydroretinol,DEHYRET,µg,
Retinaldehyde (µg),Retinaldehyde,RETALD,µg,
Alpha-carotene (µg),Alpha-carotene,ACAR,µg,
Beta-carotene (µg),Beta-carotene,BCAR,µg,
Cryptoxanthins (µg),Cryptoxanthins,CRYPT,µg,
Lutein (µg),Lutein,LUT,µg,
